County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Wyoming,Attica Vg PD,2000,,111,1,0,0,0,1,110,7,102,1,Non-New York City
Rockland,Spring Valley Vg PD,2000,,975,261,2,6,86,167,714,118,519,77,Non-New York City
Otsego,County Total,2017,,732,93,4,45,2,42,639,116,508,15,Non-New York City
Saratoga,Stillwater Town PD,2011,12,17,0,0,0,0,0,17,5,12,0,Non-New York City
Tioga,Tioga County State Police,1995,,138,4,0,2,0,2,134,37,95,2,Non-New York City
Franklin,Tupper Lake Vg PD,1997,,97,2,0,0,0,2,95,21,70,4,Non-New York City
Rensselaer,Rensselaer Poly Tech Police,2012,12,93,0,0,0,0,0,93,1,92,0,Non-New York City
Onondaga,SUNY - Upstate Medical Center,2002,12,267,2,0,1,0,1,265,0,265,0,Non-New York City
Chemung,Elmira City PD,1994,,2023,90,2,21,33,34,1933,309,1602,22,Non-New York City
Orange,Cornwall-on-Hudson Vg PD,2005,12,14,0,0,0,0,0,14,1,13,0,Non-New York City
Kings,County Total,2006,,61368,17992,225,307,8182,9278,43376,7415,30785,5176,New York City
Essex,Essex County State Police,1992,,586,57,2,3,0,52,529,196,329,4,Non-New York City
Cattaraugus,County Total,2013,,1767,115,0,13,11,91,1652,309,1281,62,Non-New York City
Clinton,Rouses Point Vg PD,2010,12,10,0,0,0,0,0,10,0,10,0,Non-New York City
Delaware,Delaware County Sheriff,1997,,102,8,1,1,1,5,94,35,57,2,Non-New York City
Nassau,Malverne Vg PD,2013,12,25,4,0,0,3,1,21,3,17,1,Non-New York City
New York,County Total,2004,,62731,11414,90,357,5288,5679,51317,5256,43504,2557,New York City
Orange,Florida Vg PD,1995,,43,3,0,0,1,2,40,4,36,0,Non-New York City
Steuben,Wayland Vg PD,1995,,89,3,0,1,0,2,86,9,76,1,Non-New York City
Broome,Special Investigator Task Force,2008,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Saratoga,Mechanicville City PD,2001,,109,40,0,2,11,27,69,12,54,3,Non-New York City
Onondaga,Camillus Town and Vg PD,1996,,507,32,0,1,5,26,475,75,388,12,Non-New York City
Allegany,Bolivar Vg PD,2005,12,13,1,0,0,0,1,12,1,11,0,Non-New York City
Westchester,Dobbs Ferry Vg PD,2006,12,147,11,0,0,5,6,136,22,109,5,Non-New York City
Onondaga,DeWitt Town PD,2013,12,735,20,0,0,10,10,715,85,618,12,Non-New York City
Orleans,County Total,1997,,1080,91,0,8,10,73,989,253,701,35,Non-New York City
Westchester,Briarcliff Manor Vg PD,1990,,98,3,0,0,0,3,95,18,68,9,Non-New York City
Broome,Johnson City Vg PD,1994,,1159,104,0,16,9,79,1055,171,866,18,Non-New York City
Livingston,Livingston County State Police,2010,12,85,8,0,2,1,5,77,16,60,1,Non-New York City
Oneida,Kirkland Town PD,2013,12,103,0,0,0,0,0,103,21,81,1,Non-New York City
Niagara,Niagara Falls City PD,2002,12,3848,558,3,30,166,359,3290,827,2080,383,Non-New York City
Steuben,Addison Vg PD,2014,12,51,2,0,0,1,1,49,1,47,1,Non-New York City
St Lawrence,SUNY College At Potsdam,2002,12,96,1,0,1,0,0,95,15,80,0,Non-New York City
Orange,Highland Falls Vg PD,2007,12,73,4,0,0,0,4,69,17,50,2,Non-New York City
Orange,Deerpark Town PD,2009,12,62,2,0,0,1,1,60,13,45,2,Non-New York City
Westchester,Pelham Vg PD,2012,12,118,6,0,0,5,1,112,16,93,3,Non-New York City
Warren,Warren County State Police,1999,,244,15,0,3,4,8,229,32,183,14,Non-New York City
Rockland,County Total,2017,,3404,397,1,68,101,227,3007,265,2648,94,Non-New York City
Orange,Goshen Vg PD,2011,12,81,3,0,0,0,3,78,7,70,1,Non-New York City
Suffolk,East Hampton Town PD,1993,,533,11,0,0,1,10,522,172,335,15,Non-New York City
Ulster,Ulster County State Police,2014,12,577,63,2,21,7,33,514,108,399,7,Non-New York City
Fulton,Northville Vg PD,2011,12,9,0,0,0,0,0,9,0,9,0,Non-New York City
Rockland,Orangetown Town PD,2004,12,626,49,2,2,19,26,577,68,489,20,Non-New York City
Cattaraugus,Salamanca City PD,2014,12,130,23,0,2,1,20,107,36,62,9,Non-New York City
Chemung,Horseheads Vg PD,1990,,419,44,0,1,2,41,375,37,328,10,Non-New York City
Westchester,Mount Vernon City PD,1996,,3715,783,9,22,430,322,2932,893,1410,629,Non-New York City
Lewis,Lewis County Sheriff,1994,,147,10,0,0,0,10,137,70,59,8,Non-New York City
Monroe,Wheatland Town PD,1990,,102,4,0,0,0,4,98,16,77,5,Non-New York City
Delaware,SUNY College At Delhi,1994,,142,2,0,0,2,0,140,46,94,0,Non-New York City
Westchester,Tarrytown Vg PD,1995,,334,42,1,2,6,33,292,39,209,44,Non-New York City
Nassau,Nassau County (RR-LI),1992,,75,17,0,0,11,6,58,8,50,0,Non-New York City
Erie,Orchard Park Town PD,2009,12,451,31,2,5,6,18,420,49,358,13,Non-New York City
Orange,Walden Vg PD,1991,,187,45,0,3,0,42,142,18,117,7,Non-New York City
Suffolk,SUNY - Stony Brook,2002,12,600,6,0,1,1,4,594,19,566,9,Non-New York City
Hamilton,Hamilton County Sheriff,1997,,32,1,0,0,0,1,31,13,17,1,Non-New York City
Onondaga,Liverpool Vg PD,2007,12,48,1,0,0,0,1,47,12,34,1,Non-New York City
Schuyler,Watkins Glen Vg PD,1994,,109,19,0,0,1,18,90,10,73,7,Non-New York City
Essex,County Total,2000,,767,125,0,7,4,114,642,202,424,16,Non-New York City
Steuben,Avoca Vg PD,1992,,14,1,0,0,0,1,13,4,9,0,Non-New York City
Clinton,Plattsburgh City PD,2012,12,555,31,0,1,2,28,524,73,442,9,Non-New York City
Westchester,Cortlandt Town PD,1992,,420,64,0,5,4,55,356,88,254,14,Non-New York City
Cattaraugus,Cattaraugus County Sheriff,2013,12,520,37,0,6,0,31,483,132,320,31,Non-New York City
Tompkins,Tompkins County Park PD,1999,,42,0,0,0,0,0,42,3,39,0,Non-New York City
Rockland,Rockland County MTA,2001,,1,1,0,0,1,0,0,0,0,0,Non-New York City
Onondaga,Onondaga County Park PD,2008,12,9,0,0,0,0,0,9,0,9,0,Non-New York City
Nassau,Freeport Vg PD,2008,12,1233,201,1,4,108,88,1032,216,696,120,Non-New York City
Rensselaer,Rensselaer County State Police,2013,12,500,22,2,3,0,17,478,113,344,21,Non-New York City
Livingston,Livingston County Sheriff,2007,12,788,24,0,4,1,19,764,99,646,19,Non-New York City
Allegany,Independence Town PD,1997,,4,0,0,0,0,0,4,4,0,0,Non-New York City
Saratoga,Stillwater Town PD,1990,,63,5,0,0,0,5,58,19,35,4,Non-New York City
Onondaga,Dewitt Town PD,2001,,878,24,0,3,12,9,854,129,681,44,Non-New York City
Rensselaer,Nassau Vg PD,2010,12,33,4,0,0,0,4,29,2,25,2,Non-New York City
Onondaga,County Total,1995,,20489,1804,19,115,721,949,18685,4716,12892,1077,Non-New York City
Oneida,Oneida County (RR-RC),1991,,3,0,0,0,0,0,3,0,3,0,Non-New York City
Seneca,Waterloo Vg PD,1997,,173,3,0,1,0,2,170,19,142,9,Non-New York City
Ulster,Lloyd Town PD,2012,12,138,3,0,2,0,1,135,20,111,4,Non-New York City
Queens,County Total,1991,,160205,31821,303,562,19616,11340,128384,27912,50485,49987,New York City
Otsego,County Total,2008,,1102,86,0,10,6,70,1016,292,703,21,Non-New York City
Saratoga,Corinth Vg PD,1997,,36,4,0,0,0,4,32,4,26,2,Non-New York City
Albany,Cohoes City PD,2011,12,333,35,1,1,11,22,298,111,174,13,Non-New York City
New York,County Total,1991,,209177,41209,483,629,24829,15268,167968,26120,122015,19833,New York City
Essex,Ticonderoga Town PD,1999,,134,19,0,0,0,19,115,28,79,8,Non-New York City
Ulster,Ulster Town PD,2013,12,451,14,0,3,2,9,437,25,410,2,Non-New York City
Orange,Newburgh City PD,1994,,1782,429,4,16,206,203,1353,559,718,76,Non-New York City
Orleans,Medina Vg PD,2002,9,106,21,0,1,0,20,85,18,66,1,Non-New York City
Onondaga,Dewitt Town PD,1996,,992,22,0,1,14,7,970,165,772,33,Non-New York City
Ontario,Ontario County State Police,1995,,445,14,1,1,2,10,431,52,376,3,Non-New York City
Onondaga,Cicero Town PD,2014,12,495,18,0,1,4,13,477,54,417,6,Non-New York City
Jefferson,Watertown City PD,1997,,1219,89,0,24,23,42,1130,263,853,14,Non-New York City
Westchester,Bedford Town PD,1998,,253,11,0,0,0,11,242,23,213,6,Non-New York City
Herkimer,Mohawk Vg PD,2004,12,28,4,0,0,0,4,24,9,15,0,Non-New York City
Cayuga,Cayuga County Park PD,2011,12,11,0,0,0,0,0,11,0,11,0,Non-New York City
Warren,Warren County Sheriff,2001,,908,46,0,10,4,32,862,201,630,31,Non-New York City
Oneida,Oneida County Park PD,1990,,3,0,0,0,0,0,3,0,3,0,Non-New York City
St Lawrence,Ogdensburg City PD,1994,,488,3,1,0,1,1,485,96,382,7,Non-New York City
Putnam,Putnam County MTA,2010,12,13,2,0,0,0,2,11,0,9,2,Non-New York City
Rockland,Stony Point Town PD,2010,12,106,9,0,0,2,7,97,23,71,3,Non-New York City
Onondaga,East Syracuse Vg PD,1992,,123,4,1,0,0,3,119,24,88,7,Non-New York City
Herkimer,County Total,2009,,1369,168,0,18,17,133,1201,235,954,12,Non-New York City
Westchester,Harrison Town PD,2001,,350,9,0,1,1,7,341,45,286,10,Non-New York City
Tompkins,Groton Vg PD,2000,,50,0,0,0,0,0,50,4,46,0,Non-New York City
St Lawrence,Potsdam Vg PD,1991,,525,22,0,0,1,21,503,67,418,18,Non-New York City
Albany,Cohoes City PD,1996,,452,107,0,3,6,98,345,113,208,24,Non-New York City
Herkimer,Webb Town PD,2005,0,,,,,,,,,,,Non-New York City
Jefferson,Jefferson County Sheriff,2017,12,325,21,0,3,1,17,304,37,259,8,Non-New York City
Sullivan,Woodridge Vg PD,1993,,76,6,0,0,3,3,70,32,29,9,Non-New York City
Cortland,Cortland County State Police,2009,12,154,6,0,1,0,5,148,13,134,1,Non-New York City
Monroe,Rochester City PD,1991,,26032,2411,65,167,1367,812,23621,5980,15644,1997,Non-New York City
Niagara,Niagara County Park PD,2007,12,42,2,0,0,0,2,40,0,40,0,Non-New York City
Chenango,Oxford Vg PD,2008,12,16,0,0,0,0,0,16,2,14,0,Non-New York City
Orange,Chester Vg PD,1998,,152,20,0,0,1,19,132,6,121,5,Non-New York City
Cattaraugus,Cattaraugus Vg PD,2008,12,4,2,0,0,0,2,2,1,1,0,Non-New York City
Albany,Guilderland Town PD,2010,12,993,11,0,4,3,4,982,67,906,9,Non-New York City
Westchester,Lewisboro Town PD,2001,,105,0,0,0,0,0,105,2,103,0,Non-New York City
Westchester,Port Chester Vg PD,1995,,725,79,0,2,31,46,646,55,522,69,Non-New York City
Westchester,Greenburgh Town PD,2003,12,1060,51,0,0,28,23,1009,111,824,74,Non-New York City
Saratoga,Mechanicville City PD,2002,12,111,49,0,2,4,43,62,15,42,5,Non-New York City
Cattaraugus,Franklinville Vg PD,2012,12,32,0,0,0,0,0,32,0,32,0,Non-New York City
Essex,Ticonderoga Town PD,1991,,132,14,0,0,0,14,118,10,107,1,Non-New York City
Putnam,Putnam County Park PD,2008,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
St Lawrence,Ogdensburg City PD,2003,12,489,7,0,3,1,3,482,84,378,20,Non-New York City
Schoharie,Cobleskill Vg PD,2010,12,166,4,0,1,2,1,162,19,140,3,Non-New York City
Greene,Athens Vg PD,2009,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Sullivan,Sullivan County (RR-RC) ,1994,,2,0,0,0,0,0,2,0,2,0,Non-New York City
Washington,Greenwich Vg PD,1999,,86,12,0,1,0,11,74,21,51,2,Non-New York City
Rensselaer,Nassau Vg PD,2004,12,14,3,0,0,0,3,11,3,7,1,Non-New York City
Westchester,Tuckahoe Vg PD,1995,,126,16,0,1,2,13,110,10,86,14,Non-New York City
Erie,Lancaster Vg PD,1991,,244,21,0,3,2,16,223,66,146,11,Non-New York City
Onondaga,Onondaga County Park PD,1998,,11,0,0,0,0,0,11,1,10,0,Non-New York City
Livingston,Geneseo Vg PD,1992,,330,38,0,1,2,35,292,35,251,6,Non-New York City
Wayne,Sodus Vg PD,1997,,46,9,0,0,0,9,37,2,34,1,Non-New York City
Essex,Essex County State Police,2001,,486,33,1,1,1,30,453,171,277,5,Non-New York City
Tompkins,Ithaca College PD,2013,12,119,0,0,0,0,0,119,37,81,1,Non-New York City
Washington,Granville Vg PD,2001,,83,4,0,3,0,1,79,17,59,3,Non-New York City
Chemung,Elmira City PD,1995,,2155,86,1,6,33,46,2069,309,1730,30,Non-New York City
Oswego,Phoenix Vg PD,2012,8,65,2,0,0,0,2,63,10,53,0,Non-New York City
Albany,Watervliet City PD,2006,12,274,32,0,0,11,21,242,54,171,17,Non-New York City
Delaware,Delhi Vg PD,1999,,34,4,0,0,2,2,30,0,30,0,Non-New York City
Livingston,Livingston County Park PD,1995,,14,0,0,0,0,0,14,0,14,0,Non-New York City
Suffolk,Ocean Beach Vg PD,2001,,54,8,0,0,0,8,46,3,42,1,Non-New York City
Onondaga,SUNY College-Env. Science and Forestry,2003,12,15,1,0,0,1,0,14,1,12,1,Non-New York City
Seneca,Seneca County Sheriff,1996,,282,22,0,3,0,19,260,70,181,9,Non-New York City
Clinton,Clinton County Park PD,2000,,12,0,0,0,0,0,12,1,11,0,Non-New York City
Onondaga,SUNY College-Env. Science and Forestry,1990,,7,0,0,0,0,0,7,0,7,0,Non-New York City
Jefferson,Glen Park Vg PD,1990,,11,0,0,0,0,0,11,3,8,0,Non-New York City
Genesee,County Total,2009,,1497,92,1,17,17,57,1405,212,1156,37,Non-New York City
Onondaga,SUNY - Upstate Medical Center,1996,,388,2,0,0,0,2,386,1,383,2,Non-New York City
Erie,Erie County State Police,2002,12,615,41,0,4,2,35,574,111,444,19,Non-New York City
Wyoming,Wyoming County State Police,2006,12,60,30,0,4,0,26,30,14,14,2,Non-New York City
Westchester,Mount Pleasant Town PD,2013,12,238,12,0,0,6,6,226,25,198,3,Non-New York City
Westchester,Scarsdale Vg PD,2007,12,162,3,0,0,1,2,159,14,136,9,Non-New York City
Westchester,Port Chester Vg PD,1991,,1284,122,3,6,47,66,1162,171,857,134,Non-New York City
Delaware,SUNY College At Delhi,1995,,92,3,0,0,2,1,89,31,56,2,Non-New York City
Ulster,Kingston City PD,2002,12,1228,93,0,5,55,33,1135,203,864,68,Non-New York City
Wyoming,Attica Vg PD,2003,12,97,1,0,0,0,1,96,6,89,1,Non-New York City
Wyoming,Perry Vg PD,2017,12,63,4,0,4,0,0,59,6,51,2,Non-New York City
Monroe,Irondequoit Town PD,2002,12,2294,74,0,4,55,15,2220,265,1820,135,Non-New York City
Erie,Kenmore Vg PD,2009,12,327,30,0,2,14,14,297,54,229,14,Non-New York City
Madison,Cazenovia Vg PD,2008,12,67,0,0,0,0,0,67,7,59,1,Non-New York City
Essex,Essex County (RR-D and H),1993,,1,0,0,0,0,0,1,0,1,0,Non-New York City
Cayuga,Weedsport Vg PD,2011,12,15,0,0,0,0,0,15,0,15,0,Non-New York City
Albany,Green Island Vg PD,1995,,69,10,0,0,1,9,59,16,41,2,Non-New York City
Westchester,Eastchester Town PD,1996,,355,21,4,1,8,8,334,35,230,69,Non-New York City
Westchester,North Castle Town PD,2012,12,97,3,0,0,1,2,94,10,84,0,Non-New York City
Nassau,County Total,1999,,28198,2595,24,116,1290,1165,25603,3233,18514,3856,Non-New York City
Delaware,Delhi Vg PD,2009,12,44,1,0,0,1,0,43,9,34,0,Non-New York City
Oneida,Yorkville Vg PD,1995,,103,10,0,0,2,8,93,28,50,15,Non-New York City
Sullivan,Sullivan County State Police,2010,12,438,63,0,12,5,46,375,123,232,20,Non-New York City
Cayuga,Cayuga County Sheriff,1995,,467,33,0,1,1,31,434,160,265,9,Non-New York City
Chemung,Southport Town PD,1998,,34,4,0,0,0,4,30,6,24,0,Non-New York City
Wayne,Wayne County Sheriff,1994,,845,43,0,13,8,22,802,242,538,22,Non-New York City
Orange,Warwick Town PD,2001,,214,4,0,0,1,3,210,21,182,7,Non-New York City
Nassau,Great Neck Estates Vg PD,2014,12,24,1,0,0,1,0,23,7,14,2,Non-New York City
Broome,Special Investigator Task Force,2011,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Orleans,Medina Vg PD,1991,,515,55,1,2,3,49,460,78,368,14,Non-New York City
Ontario,Canandaigua City PD,2002,12,255,13,0,5,4,4,242,31,206,5,Non-New York City
Cattaraugus,Cattaraugus County (RR-NS),1999,,2,0,0,0,0,0,2,0,2,0,Non-New York City
Jefferson,Glen Park Vg PD,2008,12,4,0,0,0,0,0,4,0,4,0,Non-New York City
Cortland,County Total,2006,,1169,112,0,26,10,76,1057,194,837,26,Non-New York City
Orleans,Orleans County Park PD,2004,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Ulster,Kingston City PD,1999,,871,63,0,6,28,29,808,68,683,57,Non-New York City
Westchester,Westchester County State Police,2014,12,424,43,0,4,8,31,381,58,309,14,Non-New York City
Warren,Warren County Sheriff,2015,12,572,36,1,16,6,13,536,74,459,3,Non-New York City
Niagara,County Total,2006,,7120,900,5,68,273,554,6220,1598,4239,383,Non-New York City
Chemung,Elmira Heights Vg PD,2005,12,175,8,0,2,1,5,167,13,152,2,Non-New York City
Saratoga,Saratoga County Sheriff,1997,,898,41,2,5,6,28,857,234,589,34,Non-New York City
Onondaga,Geddes Town PD,1993,,339,7,0,2,1,4,332,73,251,8,Non-New York City
Columbia,Hudson City PD,2013,12,224,26,0,1,8,17,198,25,172,1,Non-New York City
Nassau,Great Neck Estates Vg PD,2013,12,20,0,0,0,0,0,20,6,12,2,Non-New York City
Nassau,SUNY College At Old Westbury,1996,,80,5,0,0,1,4,75,18,55,2,Non-New York City
Orange,Chester Vg PD,1996,,157,17,0,0,2,15,140,13,125,2,Non-New York City
Rensselaer,North Greenbush Town PD,2013,12,239,8,0,0,2,6,231,32,197,2,Non-New York City
Broome,Vestal Town PD,1994,,435,9,0,1,1,7,426,47,364,15,Non-New York City
Wayne,Clyde Vg PD,2006,12,99,5,0,0,0,5,94,22,71,1,Non-New York City
Herkimer,Frankfort Vg PD,2007,11,31,3,0,0,0,3,28,6,22,0,Non-New York City
Cayuga,Moravia Vg PD,2011,12,22,1,0,0,0,1,21,3,18,0,Non-New York City
Montgomery,County Total,2007,,724,118,1,6,5,106,606,127,456,23,Non-New York City
Nassau,Hempstead Vg PD,2001,,1397,377,13,17,150,197,1020,184,451,385,Non-New York City
Oneida,Rome City PD,1998,,844,50,1,7,25,17,794,245,501,48,Non-New York City
Oneida,Kirkland Town PD,2001,,142,1,0,0,1,0,141,25,111,5,Non-New York City
Washington,Fort Edward Vg PD,1997,,125,1,0,1,0,0,124,23,97,4,Non-New York City
Allegany,Bolivar Vg PD,2007,12,27,1,0,0,0,1,26,5,21,0,Non-New York City
Rockland,Ramapo Town PD,2013,12,628,57,2,5,9,41,571,89,469,13,Non-New York City
Putnam,Cold Spring Vg PD,2003,12,16,0,0,0,0,0,16,3,12,1,Non-New York City
Cattaraugus,Ellicottville Town PD,2009,12,131,0,0,0,0,0,131,5,126,0,Non-New York City
Greene,Cairo Town PD,2014,12,60,3,0,0,0,3,57,13,43,1,Non-New York City
Tioga,Tioga County Sheriff,1994,,183,41,0,1,0,40,142,35,98,9,Non-New York City
Westchester,New Castle Town PD,2009,12,101,0,0,0,0,0,101,7,91,3,Non-New York City
Erie,Eden Town PD,2009,12,49,2,0,0,0,2,47,7,36,4,Non-New York City
Saratoga,South Glens Falls Vg PD,2013,12,121,7,0,1,1,5,114,17,95,2,Non-New York City
Delaware,Delhi Vg PD,2002,12,25,10,0,1,3,6,15,1,14,0,Non-New York City
Cattaraugus,Allegany Vg PD,2009,12,23,3,0,0,1,2,20,1,19,0,Non-New York City
Jefferson,Jefferson County Park PD,2011,12,20,0,0,0,0,0,20,1,18,1,Non-New York City
Livingston,Caledonia Vg PD,2010,12,23,2,0,0,0,2,21,4,17,0,Non-New York City
Dutchess,County Total,1996,,7635,935,11,45,242,637,6700,1356,5009,335,Non-New York City
Chemung,Horseheads Vg PD,2001,,235,8,0,0,4,4,227,20,205,2,Non-New York City
Steuben,Painted Post Vg PD,2011,12,50,1,0,0,0,1,49,4,43,2,Non-New York City
Nassau,County Total,1993,,38965,3567,38,114,1756,1659,35398,5972,21522,7904,Non-New York City
Greene,Cairo Town PD,1993,,2,0,0,0,0,0,2,2,0,0,Non-New York City
Chenango,Sherburne Vg PD,2005,12,38,0,0,0,0,0,38,8,30,0,Non-New York City
Wyoming,County Total,2008,,547,52,0,4,6,42,495,110,372,13,Non-New York City
Columbia,County Total,1992,,1875,269,0,7,30,232,1606,447,1106,53,Non-New York City
Rockland,County Total,2016,,3561,384,2,48,104,230,3177,256,2803,118,Non-New York City
Cayuga,County Total,2017,,1341,237,1,77,21,138,1104,179,900,25,Non-New York City
Monroe,Monroe County Park PD,1999,,6,0,0,0,0,0,6,2,4,0,Non-New York City
Schenectady,Schenectady County (RR-RC),1994,,1,0,0,0,0,0,1,1,0,0,Non-New York City
Albany,Altamont Vg PD,2011,12,10,1,0,0,0,1,9,2,6,1,Non-New York City
Oswego,Oswego City PD,1993,,898,1,0,0,1,0,897,146,707,44,Non-New York City
Westchester,Mamaroneck Vg PD,2005,12,363,20,0,0,10,10,343,46,269,28,Non-New York City
Genesee,Genesee County State Police,2012,12,89,8,0,1,1,6,81,8,70,3,Non-New York City
Ulster,Plattekill Town PD,1991,,15,0,0,0,0,0,15,1,13,1,Non-New York City
Essex,Lake Placid Vg PD,2005,12,70,7,0,1,1,5,63,11,51,1,Non-New York City
Oneida,SUNY College At Utica/Rome,1995,,24,0,0,0,0,0,24,1,23,0,Non-New York City
Albany,Coeymans Town PD,1995,,68,5,0,0,1,4,63,7,52,4,Non-New York City
Westchester,Dobbs Ferry Vg PD,2010,12,142,7,0,0,5,2,135,21,112,2,Non-New York City
Onondaga,Skaneateles Vg PD,2004,12,110,2,0,0,0,2,108,17,89,2,Non-New York City
Montgomery,County Total,2002,,799,86,1,10,7,68,713,145,548,20,Non-New York City
Westchester,Rye Brook Vg PD,1996,,255,5,0,0,2,3,250,6,221,23,Non-New York City
Albany,SUNY - Albany,2002,12,288,10,0,0,4,6,278,31,247,0,Non-New York City
Wayne,Wayne County (RR-RC),1996,,1,0,0,0,0,0,1,1,0,0,Non-New York City
Oneida,Whitestown Town PD,2008,12,97,0,0,0,0,0,97,14,78,5,Non-New York City
Delaware,Sidney Vg PD,1998,,199,12,0,2,1,9,187,20,164,3,Non-New York City
Suffolk,Westhampton Beach Vg PD,2014,12,35,2,0,0,0,2,33,8,23,2,Non-New York City
Jefferson,Jefferson County Sheriff,2006,12,576,39,0,8,5,26,537,115,407,15,Non-New York City
Niagara,Niagara Town PD,2004,12,400,23,0,0,5,18,377,57,292,28,Non-New York City
Wayne,Newark Vg PD,2011,12,375,27,0,6,10,11,348,63,281,4,Non-New York City
Broome,Johnson City Vg PD,1998,,752,43,0,4,4,35,709,154,544,11,Non-New York City
Orleans,Albion Vg PD,2014,12,228,23,0,0,2,21,205,41,160,4,Non-New York City
Washington,Granville Vg PD,2009,12,54,3,0,2,0,1,51,14,37,0,Non-New York City
Washington,Washington County Sheriff,2009,12,339,24,0,3,2,19,315,75,223,17,Non-New York City
Westchester,Yonkers City PD,1996,,8211,1105,14,34,639,418,7106,1381,4125,1600,Non-New York City
Ulster,Rosendale Town PD,2013,12,62,1,0,0,0,1,61,16,45,0,Non-New York City
Westchester,Croton-On-Hudson Vg PD,2007,12,97,4,0,0,1,3,93,22,68,3,Non-New York City
Suffolk,Suffolk County State Police,1996,,48,15,0,0,2,13,33,13,16,4,Non-New York City
Albany,Albany County Park PD,1996,,6,0,0,0,0,0,6,0,6,0,Non-New York City
